video_id,channel_title,channel_id,video_publish_date,video_title,video_view_count,video_like_count,video_dislike_count,video_comment_count
0xS6ANeUcDg,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-30T22:00:01.000Z,CNN’s Creepy Stalker Behavior Towards Trump Intensifies,21713,1347.0,22.0,236.0
dccLQ6BhISE,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-29T00:30:00.000Z,Bernie Sanders Creates Fake News On CNN,14969,694.0,83.0,265.0
Yii0pPKfXnY,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-28T18:49:05.000Z,"CNN Calls Christmas Racist, Claims It Is Not Under Attack",24553,1394.0,44.0,385.0
jCXWMIfQ1DA,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-28T01:30:01.000Z,New York Times Says Best Stock Market Ever Is The Worst,10193,406.0,23.0,107.0
gbsbqLJrWF8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-27T21:47:18.000Z,MSNBC Says Trump Is Racist Because Most NFL Athletes Are Black,8959,424.0,23.0,113.0
F141dC1yZf4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-27T20:33:40.000Z,"CNN's So Desperate, They Sink To Hiding In The Bushes",23231,1360.0,35.0,400.0
-wWDMjcnwLE,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-23T02:56:45.000Z,Full Show - President Trump Signs Historic Tax Bill Into Law Despite MSM Lies - 12/22/2017,28940,808.0,33.0,179.0
YYK2LPzXe2c,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-22T20:00:54.000Z,New York Times Column Says Trump Is About To Stage A Coup,19169,751.0,30.0,230.0
yX5W9Acrv4c,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-22T19:40:54.000Z,President Trump Forced To Sign Tax Bill Early Due To MSM Lies,37440,1916.0,41.0,486.0
6UM24aVjMaA,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-21T20:10:39.000Z,Will CNN Fire John King For Calling Trump’s Tax Cuts “Damn Good Money”?,24142,957.0,26.0,172.0
W0c2ZjPoh_4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-21T17:58:36.000Z,Even CNN Admits Tax Cuts Give Working Families 'Damn Good Money',13824,512.0,11.0,79.0
JcN0TrhRVSw,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-20T18:09:32.000Z,"WaPo Lies, Claims Alex Jones Said That The FBI Will Kill Trump",5734,312.0,22.0,84.0
